39	Pina_Colada	Пина Колада	ананас, кокос, киви	ананас, клубника, манго	дробленый арахис, кокос	ананас, сгущенное молоко, манго	b9862c	2
40	Pineapple	Ананас	киви, клубника, классический, апельсин	ананас, клубника	кокос, фруктовый мармелад	сгущенное молоко, клубника, манго	c7b12e	1
41	Pistachio	Фисташки	печенье со сливочным кремом, ваниль, банан	клубника, манго, яблоко	миндаль, дробленый арахис, ореховая смесь	шоколад, клубника	989034
42	Pomegranate	Гранат	классический, киви, апельсин	клубника, банан, ананас	мотчи, гранола, фруктовый мармелад	клубника, киви	bd414c
43	Raspberry	Малина	классический, клубника, персик	клубника, ананас, голубика	мотчи, гранола	клубника, киви	ef472c
44	Rocky_Road	Шоколад с орехами	шоколад, клубника, миндаль	клубника, банан, вишня	миндальные лепестки, ореховая смесь, брауни, шоколадная крошка	шоколад, карамель	502b1b	1
45	Royal_Velvet	Королевский бархат	шоколад, черника, капучино	клубника, ежевика, манго	шоколадные чипсы, кусочки белого шоколада	манго	d22034	2
46	Salted_Caramel	Соленая карамель	шоколад, ваниль, банан	клубника, манго, яблоко	миндаль, кокос, дробленый арахис	шоколад, клубника	935e25	4
47	Strawberry	Земляничная поляна	классический, киви, персик	клубника, банан, ананас	мотчи, гранола	клубника, киви	aa303f	1
48	TripleBerry	Три ягоды	классический, клубника, малина	клубника, манго, малина	мотчи, фруктовый мармелад	клубника, лимон	ab303f
49	Tutti_Frutti	Тутти Фрутти	классический, клубника, малина	клубника, манго, малина	мотчи, фруктовый мармелад	клубника, лимон	6f6f6f
50	Vanilla	Ваниль	шоколад, банан, миндаль	малина, ежевика	шоколадные чипсы, дробленый арахис	шоколад, карамель	818182
51	Watermelon	Арбуз	лимон, клубника	клубника, арбуз	фруктовый мармелад	клубника	e34f4e
